geracao_id,client_id,client_name,limite_id,mes_referencia,tipo_entrega,origem_geracao,solicitado_por,responsavel_operacional,status_geracao,status_anterior,ocupa_limite_operacional,consumo_definitivo,libera_espaco,confirmacao_interna_liberacao,motivo_alteracao,link_resultado_drive,prompt_interno_id,observacao,data_status,data_criacao,data_atualizacao
516e07ab-77e4-4130-b617-7a994e6c7b85,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,59969","46210,59969","46210,59969"
2fb446d0-46b7-491e-8819-976fcc9639b1,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,59978","46210,59978","46210,59978"
b6d59c18-98a3-4f71-88ae-9d7e3a9da388,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,59985","46210,59985","46210,59985"
7873d53b-8276-4ba3-a54b-d2237d1ce7d3,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,59991","46210,59991","46210,59991"
e38c54a4-8e90-4265-8394-c85bb8b63373,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,59997","46210,59997","46210,59997"
6594d0fc-c1c1-4b76-8e3b-3d071e161b49,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60002","46210,60002","46210,60002"
fa3d5314-95fa-4174-bdf4-e646f1560828,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60009","46210,60009","46210,60009"
cacb77d7-cb70-42be-a54d-44b0ec64fa2e,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60016","46210,60016","46210,60016"
ba351285-d890-4691-b366-54f684ae571f,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60022","46210,60022","46210,60022"
8361c68a-cc02-4bf3-b5d0-3506b85659b1,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60028","46210,60028","46210,60028"
508f96b6-5d43-45f1-b38f-3db425555d9e,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60035","46210,60035","46210,60035"
640cdad3-8e52-4f06-82b4-36b847a4249e,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60042","46210,60042","46210,60042"
29f8ca7f-d111-4842-bf30-beb729ba2377,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,carrossel,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60049","46210,60049","46210,60049"
7a438c21-155f-46c8-9b1f-ce70da50e075,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,carrossel,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60054","46210,60054","46210,60054"
53f68f22-f6c8-4d81-8c39-167e350c203e,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,carrossel,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60059","46210,60059","46210,60059"
92eb49b8-4211-420a-b660-7f368ed2f929,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,carrossel,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60065","46210,60065","46210,60065"
0fd7eb05-b5c3-4f17-b1e5-679bfa4db13a,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,carrossel,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60071","46210,60071","46210,60071"
fd9a10c0-99b8-4219-b371-2e13a2e266e8,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,carrossel,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60078","46210,60078","46210,60078"
038273c6-af03-4665-a4e1-570534cbbbd5,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,carrossel,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60083","46210,60083","46210,60083"
17db5be0-a217-4a3a-add6-3b96e051d42e,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,carrossel,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60089","46210,60089","46210,60089"
c3d5cd26-1776-459d-89fe-68bc7075d45b,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60095","46210,60095","46210,60095"
d9e70751-baf7-48cd-bb70-2f516c905078,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,601","46210,601","46210,601"
f64f515c-38bb-467e-b17e-1247378e6e77,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60105","46210,60105","46210,60105"
cb49e77f-1cde-4dfb-8b84-7a57173aaf37,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60111","46210,60111","46210,60111"
251e6178-9846-44e2-b7f1-7d935adb758e,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60117","46210,60117","46210,60117"
61ec07bb-aaa9-466c-a1f3-91af103b54b9,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60125","46210,60125","46210,60125"
a932df77-8811-4143-9f33-3c893fa2adbf,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60131","46210,60131","46210,60131"
c11e2dde-5770-4d38-9007-a1c09db69e9b,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60137","46210,60137","46210,60137"
234dbf39-1c48-450e-9d43-a75e4c46ea9a,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60142","46210,60142","46210,60142"
8ff93e69-37a0-46a8-be91-83f3d4ecec21,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60149","46210,60149","46210,60149"
2fc9f348-612f-461f-9048-6d0ecac0fbfe,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60154","46210,60154","46210,60154"
8b6f3075-a76f-4f54-9e8c-413e4c969b34,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,6016","46210,6016","46210,6016"
fce23afc-02d9-45ca-8b4a-009c08984c75,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60166","46210,60166","46210,60166"
b1d0eb21-2ad9-4762-97d9-9041cfcb84c6,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60171","46210,60171","46210,60171"
265788d0-c684-47d0-ae66-341d8436cb54,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60177","46210,60177","46210,60177"
53d8687f-93f8-4239-9ca7-12df0df79efb,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60184","46210,60184","46210,60184"
2193ef5b-579b-4f49-9ec7-fa964fe87157,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,6019","46210,6019","46210,6019"
f7003ed4-5ed1-445c-9c7b-b502aae46f5b,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60196","46210,60196","46210,60196"
24891d72-d3c9-40a0-bb85-ac833d138910,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60201","46210,60201","46210,60201"
dea3d4c0-3927-40d5-8918-5b103eefcc41,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,story,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60207","46210,60207","46210,60207"
22ce9f89-52e8-407a-9383-2d5ed982d350,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,post_estatico,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60213","46210,60213","46210,60213"
68d7f557-109b-4864-ace2-21351668b692,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,post_estatico,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60219","46210,60219","46210,60219"
edc2d9f0-b521-426e-b512-0c6e23de117c,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,post_estatico,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60225","46210,60225","46210,60225"
8e134483-e6e7-4716-9b55-905646757293,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,post_estatico,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,6023","46210,6023","46210,6023"
10039545-4c99-4b1c-8635-8ab18dda9bd8,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,anuncio,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60236","46210,60236","46210,60236"
d635085c-1096-4c64-9df8-bfd781db7791,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,anuncio,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60243","46210,60243","46210,60243"
c0fa1bf4-ce59-4f24-ab6c-fca838d237b2,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,anuncio,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60249","46210,60249","46210,60249"
34591f66-bff5-44fd-93af-1e2efb06e324,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60253","46210,60253","46210,60253"
3873f98f-a0f6-4ac0-92c0-2757f3e48ab7,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60259","46210,60259","46210,60259"
8d6c7373-e242-4c7a-8217-ab454c3653d0,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,post_estatico,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60264","46210,60264","46210,60264"
19833d26-1f22-44d2-8897-5ea4b25b3235,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,6027","46210,6027","46210,6027"
5365bb4e-2ac1-4957-896e-0bfa307ce689,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60274","46210,60274","46210,60274"
b1e5d8c6-459a-42e8-9d0a-a284c6f5e460,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60279","46210,60279","46210,60279"
6dac24b6-97b4-4c34-a37b-e2cd170a8488,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60285","46210,60285","46210,60285"
49e5f43f-d2fa-428f-b349-8eba63839230,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60289","46210,60289","46210,60289"
badabcac-0f67-4b72-9116-b4106d48c859,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60294","46210,60294","46210,60294"
529ee330-03f5-473d-8ee2-e2e8a8c9fb91,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60299","46210,60299","46210,60299"
0018dc10-17fd-4ee3-9717-0b25ec16e03f,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,outro,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,60304","46210,60304","46210,60304"
516e07ab-77e4-4130-b617-7a994e6c7b85,FLUXAI_LABS_001,,,46204,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,"46210,67295","46210,67295","46210,67295"
516e07ab-77e4-4130-b617-7a994e6c7b85,FLUXAI_LABS_001,,,46204,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,"46210,67318","46210,67318","46210,67318"
516e07ab-77e4-4130-b617-7a994e6c7b85,FLUXAI_LABS_001,,,46204,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,"46210,67339","46210,67339","46210,67339"
FLUXAI_LABS_001-b46de651,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,67406","46210,67406","46210,67406"
516e07ab-77e4-4130-b617-7a994e6c7b85,FLUXAI_LABS_001,,,46204,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,"46210,6963","46210,6963","46210,6963"
FLUXAI_LABS_001-5cfb16b0,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,46204,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,"46210,69675","46210,69675","46210,69675"
FLUXAI_LABS_001-5cfb16b0,FLUXAI_LABS_001,,,46204,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,"46210,71485","46210,71485","46210,71485"
FLUXAI_LABS_001-5fafeaa7,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,2026-07,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,07/07/2026 17:14:03,07/07/2026 17:14:03,07/07/2026 17:14:03
FLUXAI_LABS_001-5fafeaa7,FLUXAI_LABS_001,,,2026-07,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,07/07/2026 17:30:20,07/07/2026 17:30:20,07/07/2026 17:30:20
FLUXAI_LABS_001-f54e3c88,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,2026-07,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,07/07/2026 17:35:37,07/07/2026 17:35:37,07/07/2026 17:35:37
FLUXAI_LABS_001-f54e3c88,FLUXAI_LABS_001,,,2026-07,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,07/07/2026 17:56:05,07/07/2026 17:56:05,07/07/2026 17:56:05
FLUXAI_LABS_001-f66b45a7,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,2026-07,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,07/07/2026 17:56:22,07/07/2026 17:56:22,07/07/2026 17:56:22
FLUXAI_LABS_001-f66b45a7,FLUXAI_LABS_001,,,2026-07,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,07/07/2026 18:13:35,07/07/2026 18:13:35,07/07/2026 18:13:35
FLUXAI_LABS_001-34ea3117,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,2026-07,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,07/07/2026 18:13:50,07/07/2026 18:13:50,07/07/2026 18:13:50
2fb446d0-46b7-491e-8819-976fcc9639b1,FLUXAI_LABS_001,,,2026-07,conteudo_estrategico,contrato,Kássia Gomes,,excluido,,,,,,,,,,07/07/2026 18:29:47,07/07/2026 18:29:47,07/07/2026 18:29:47
FLUXAI_LABS_001-f96a20db,FLUXAI_LABS_001,FluxAI Labs,IA_FLUXAI_LABS_001,2026-07,reels,contrato,Kássia Gomes,Design,rascunho_ia,,sim,nao,nao,,nova_geracao_ia,,,Rascunho gerado via FluxAI OS,07/07/2026 18:30:02,07/07/2026 18:30:02,07/07/2026 18:30:02